ALLELEFREQUENCY_ID,ALLELEFREQUENCY_VARIANTID,ALLELEFREQUENCY_GENDERID,ALLELEFREQUENCY_POPULATIONID,ALLELEFREQUENCY_FREQUENCY,ALLELEFREQUENCY_UPDATED
1,1,3,18,0.232325,2022-08-17
2,2,1,11,0.11112325,2022-08-17
3,3,2,11,0.999999,2022-09-17
4,4,1,11,0.888888,2022-09-17
5,5,1,11,0.232325,2021-08-17
6,5,3,18,0.11112325,2021-08-17
7,5,3,18,0.999999,2020-08-17
8,6,3,18,0.888888,2020-08-17
9,7,1,11,0.232325,2022-08-20
10,8,2,11,0.11112325,2022-08-21
11,9,1,11,0.999999,2022-09-22
12,10,3,18,0.888888,2022-09-17
13,10,3,18,0.11112325,2022-02-17
14,12,3,12,0.999999,2022-02-17
15,12,3,12,0.888888,2022-02-17
16,11,2,11,0.11112325,2022-01-17
17,13,3,18,0.999999,2022-01-17
18,14,2,11,0.888888,2022-01-17
